"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"123",2007,"August","PB",20,"cm","Unknown","Gear is HnL",1,1
"124",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"125",2007,"August","PB",19,"cm","Unknown","Gear is HnL",1,1
"126",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"127",2009,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"128",2009,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"129",2009,"August","PB",29,"cm","Unknown","Gear is HnL",1,1
"130",2009,"August","PB",29,"cm","Unknown","Gear is HnL",1,1
"131",2013,"August","PB",22,"cm","Unknown","Gear is HnL",0,1
"132",2013,"August","PB",36,"cm","Unknown","Gear is HnL",0,1
"133",2013,"August","PB",15,"cm","Unknown","Gear is HnL",0,1
"134",2008,"July","PB",19,"cm","Unknown","Gear is HnL",1,1
"135",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"136",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"137",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"138",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"139",2008,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"140",2007,"September","PB",20,"cm","Unknown","Gear is HnL",1,1
"141",2007,"September","PB",18,"cm","Unknown","Gear is HnL",1,1
"142",2007,"September","PB",20,"cm","Unknown","Gear is HnL",1,1
"143",2007,"September","PB",20,"cm","Unknown","Gear is HnL",1,1
"144",2007,"September","PB",18,"cm","Unknown","Gear is HnL",1,1
"145",2007,"September","PB",16,"cm","Unknown","Gear is HnL",1,1
"146",2007,"September","PB",18,"cm","Unknown","Gear is HnL",1,1
"147",2007,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"148",2007,"September","PB",22,"cm","Unknown","Gear is HnL",1,1
"149",2010,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"150",2007,"October","PB",24,"cm","Unknown","Gear is HnL",0,1
"151",2007,"October","PB",21,"cm","Unknown","Gear is HnL",0,1
"152",2010,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"153",2008,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"154",2008,"July","PB",25,"cm","Unknown","Gear is HnL",0,1
"155",2008,"September","PB",36,"cm","Unknown","Gear is HnL",1,1
"156",2008,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"157",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"158",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"159",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"160",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"161",2008,"September","PB",29,"cm","Unknown","Gear is HnL",1,1
"162",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"163",2008,"September","PB",29,"cm","Unknown","Gear is HnL",1,1
"164",2008,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"165",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"166",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"167",2008,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"168",2008,"September","PB",29,"cm","Unknown","Gear is HnL",1,1
"169",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"170",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"171",2008,"September","PB",29,"cm","Unknown","Gear is HnL",1,1
"172",2008,"September","PB",27,"cm","Unknown","Gear is HnL",1,1
"173",2009,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"174",2009,"September","PB",29,"cm","Unknown","Gear is HnL",1,1
"175",2007,"October","PB",34,"cm","Unknown","Gear is HnL",0,1
"176",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"177",2007,"October","PB",34,"cm","Unknown","Gear is HnL",0,1
"178",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"179",2007,"October","PB",26,"cm","Unknown","Gear is HnL",0,1
"180",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"181",2010,"July","PB",32,"cm","Unknown","Gear is HnL",0,1
"182",2010,"July","PB",32,"cm","Unknown","Gear is HnL",0,1
"183",2010,"July","PB",31,"cm","Unknown","Gear is HnL",0,1
"184",2010,"July","PB",15,"cm","Unknown","Gear is HnL",0,1
"185",2011,"August","PB",15,"cm","Unknown","Gear is HnL",0,1
"186",2011,"September","PB",34,"cm","Unknown","Gear is HnL",0,1
"187",2011,"September","PB",22,"cm","Unknown","Gear is HnL",0,1
"188",2011,"September","PB",22,"cm","Unknown","Gear is HnL",0,1
"189",2011,"September","PB",34,"cm","Unknown","Gear is HnL",0,1
"190",2011,"September","PB",14,"cm","Unknown","Gear is HnL",0,1
"191",2011,"September","PB",16,"cm","Unknown","Gear is HnL",0,1
"192",2011,"September","PB",35,"cm","Unknown","Gear is HnL",0,1
"193",2011,"September","PB",36,"cm","Unknown","Gear is HnL",0,1
"194",2011,"September","PB",33,"cm","Unknown","Gear is HnL",0,1
"195",2010,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"196",2010,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"197",2010,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
"198",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"199",2008,"July","PB",26,"cm","Unknown","Gear is HnL",1,1
"200",2008,"July","PB",20,"cm","Unknown","Gear is HnL",1,1
"201",2008,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
"202",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"203",2013,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"204",2013,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"205",2013,"July","PB",32,"cm","Unknown","Gear is HnL",1,1
"206",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"207",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"208",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"209",2013,"July","PB",32,"cm","Unknown","Gear is HnL",1,1
"210",2013,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
"211",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"212",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"213",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"214",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"215",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"216",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"217",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"218",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"219",2008,"September","PB",37,"cm","Unknown","Gear is HnL",1,1
"220",2008,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"221",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"222",2007,"October","PB",21,"cm","Unknown","Gear is HnL",1,1
"223",2007,"October","PB",33,"cm","Unknown","Gear is HnL",1,1
"224",2007,"October","PB",34,"cm","Unknown","Gear is HnL",1,1
"225",2007,"October","PB",19,"cm","Unknown","Gear is HnL",1,1
"226",2007,"October","PB",32,"cm","Unknown","Gear is HnL",1,1
"227",2007,"October","PB",22,"cm","Unknown","Gear is HnL",1,1
